Deviation,EIId,EIName,DSignal,dataOk,IndexRelease,PreReleasePrice,SpikeMaximumPrice,Direction,SpikePips,EventDate,symbol
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"0,6517","0,652",Long,"3,00000000000078",2015-11-19 09:30:00 AM,NZDUSD
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"1,3258","1,3261",Long,"2,99999999999967",2015-11-19 09:30:00 AM,USDCAD
"-0,3",1339,UK RS ex Auto MoM,0,True,30,"1,0179","1,0175",Short,"3,99999999999956",2015-11-19 09:30:00 AM,USDCHF
"1,1",1339,UK RS ex Auto MoM,1,True,30,"0,9944","0,9946",Long,"2,00000000000089",2015-12-17 09:30:00 AM,AUDCAD
"1,1",1339,UK RS ex Auto MoM,1,True,30,"88,123","88,138",Long,"1,50000000000006",2015-12-17 09:30:00 AM,AUDJPY
"1,1",1339,UK RS ex Auto MoM,1,True,30,"1,0662","1,0661",Short,"0,99999999999989",2015-12-17 09:30:00 AM,AUDNZD
"1,1",1339,UK RS ex Auto MoM,1,True,30,"0,7202","0,7199",Short,"2,99999999999967",2015-12-17 09:30:00 AM,AUDUSD
"1,1",1339,UK RS ex Auto MoM,1,True,30,"88,622","88,609",Short,"1,30000000000052",2015-12-17 09:30:00 AM,CADJPY
"1,1",1339,UK RS ex Auto MoM,1,True,30,"1,50893","1,50945",Long,"5,19999999999854",2015-12-17 09:30:00 AM,EURAUD
"1,1",1339,UK RS ex Auto MoM,1,True,30,"1,50048","1,50113",Long,"6,50000000000039",2015-12-17 09:30:00 AM,EURCAD
"1,1",1339,UK RS ex Auto MoM,1,True,30,"1,08183","1,08148",Short,"3,50000000000072",2015-12-17 09:30:00 AM,EURCHF
"1,1",1339,UK RS ex Auto MoM,1,True,30,"0,72518","0,72406",Short,"11,2000000000001",2015-12-17 09:30:00 AM,EURGBP
"1,1",1339,UK RS ex Auto MoM,1,True,30,"315,58","315,27",Short,"0,00310000000000002",2015-12-17 09:30:00 AM,EURHUF
"1,1",1339,UK RS ex Auto MoM,1,True,30,"132,98","133,02",Long,"4,00000000000205",2015-12-17 09:30:00 AM,EURJPY
"1,1",1339,UK RS ex Auto MoM,1,True,30,"9,4757","9,4604",Short,"15,2999999999999",2015-12-17 09:30:00 AM,EURNOK
"1,1",1339,UK RS ex Auto MoM,1,True,30,"4,3047","4,3042",Short,"5,00000000000611",2015-12-17 09:30:00 AM,EURPLN
"1,1",1339,UK RS ex Auto MoM,1,True,30,"9,2854","9,2786",Short,"6,79999999999836",2015-12-17 09:30:00 AM,EURSEK
"1,1",1339,UK RS ex Auto MoM,1,True,30,"1,536","1,5356",Short,"3,99999999999956",2015-12-17 09:30:00 AM,EURSGD
"1,1",1339,UK RS ex Auto MoM,1,True,30,"1,0867","1,0869",Long,"1,99999999999978",2015-12-17 09:30:00 AM,EURUSD
"1,1",1339,UK RS ex Auto MoM,1,True,30,"1,4921","1,4902",Short,"19,0000000000001",2015-12-17 09:30:00 AM,GBPCHF
"1,1",1339,UK RS ex Auto MoM,1,True,30,"183,387","183,646",Long,"25,8999999999986",2015-12-17 09:30:00 AM,GBPJPY
"1,1",1339,UK RS ex Auto MoM,1,True,30,"12,8013","12,8164",Long,"15,1000000000003",2015-12-17 09:30:00 AM,GBPSEK
"1,1",1339,UK RS ex Auto MoM,1,True,30,"1,4988","1,5007",Long,"19,0000000000001",2015-12-17 09:30:00 AM,GBPUSD
"1,1",1339,UK RS ex Auto MoM,1,True,30,"82,661","82,645",Short,"1,60000000000053",2015-12-17 09:30:00 AM,NZDJPY
"1,1",1339,UK RS ex Auto MoM,1,True,30,"0,6755","0,6752",Short,"2,99999999999967",2015-12-17 09:30:00 AM,NZDUSD
"1,1",1339,UK RS ex Auto MoM,1,True,30,"1,3808","1,3814",Long,"5,99999999999934",2015-12-17 09:30:00 AM,USDCAD
"1,1",1339,UK RS ex Auto MoM,1,True,30,"0,9956","0,9951",Short,"5,00000000000056",2015-12-17 09:30:00 AM,USDCHF
